City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Airai,TL,2022-05-06 00:21:31,-8.9266,125.4092,67.96,75,39,3.18
180,Maracaibo,VE,2022-05-06 00:21:17,10.6317,-71.6406,83.19,75,100,8.75
181,Soyo,AO,2022-05-06 00:22:31,-6.1349,12.3689,77.43,90,91,4.76
182,Ajaccio,FR,2022-05-06 00:18:03,42.0,8.9167,51.78,100,100,3.44
183,Clyde River,CA,2022-05-06 00:22:32,70.4692,-68.5914,16.03,79,0,0.0
184,Kiama,AU,2022-05-06 00:22:32,-34.6833,150.8667,63.57,53,0,10.0
185,Limache,CL,2022-05-06 00:22:33,-33.0167,-71.2667,56.14,90,24,0.18
186,Port Lincoln,AU,2022-05-06 00:20:52,-34.7333,135.8667,58.23,52,96,9.8
187,Kruisfontein,ZA,2022-05-06 00:18:26,-34.0033,24.7314,60.03,62,3,5.95
188,Bubaque,GW,2022-05-06 00:22:33,11.2833,-15.8333,78.67,68,0,12.71
189,Kalia,BD,2022-05-06 00:22:34,23.0396,89.6328,76.93,81,32,2.24
190,Torbay,CA,2022-05-06 00:22:34,47.6666,-52.7314,41.76,95,100,8.05
191,Sabang,ID,2022-05-06 00:22:34,5.8933,95.3214,81.14,82,99,18.68
192,Porto Novo,BJ,2022-05-06 00:20:43,6.4965,2.6036,82.22,82,99,8.05
193,Zhezkazgan,KZ,2022-05-06 00:22:35,47.8043,67.7144,55.71,67,1,6.69
194,Morant Bay,JM,2022-05-06 00:22:35,17.8815,-76.4093,82.02,83,9,8.21
195,Mirganj,IN,2022-05-06 00:22:35,28.55,79.2,78.75,41,0,4.18
196,Portobelo,PA,2022-05-06 00:22:36,9.55,-79.65,80.11,84,100,4.29
197,Brekstad,NO,2022-05-06 00:22:36,63.687,9.6654,47.01,81,75,16.11
198,Beni Mazar,EG,2022-05-06 00:22:37,28.4962,30.8029,61.47,57,0,11.54
199,Ivankiv,UA,2022-05-06 00:22:37,50.9386,29.8943,41.09,73,29,5.44
200,Salalah,OM,2022-05-06 00:18:38,17.0151,54.0924,84.29,79,75,3.44
201,Beroroha,MG,2022-05-06 00:22:37,-21.6667,45.1667,69.49,73,0,4.97
202,Arraial Do Cabo,BR,2022-05-06 00:18:27,-22.9661,-42.0278,74.44,81,20,21.3
203,Farah,AF,2022-05-06 00:22:38,32.5,62.5,72.43,20,0,4.85
204,Dakoro,NE,2022-05-06 00:22:38,14.5106,6.765,92.1,15,97,7.23
205,Esmeraldas,BR,2022-05-06 00:22:39,-19.7625,-44.3139,69.04,83,47,2.98
206,Mahajanga,MG,2022-05-06 00:22:39,-15.7167,46.3167,71.62,94,20,3.44
207,La Rioja,ES,2022-05-06 00:22:39,42.25,-2.5,40.78,94,52,4.14
208,Rognan,NO,2022-05-06 00:22:40,67.0953,15.3878,41.14,85,92,4.97
209,Sharjah,AE,2022-05-06 00:22:40,25.3573,55.4033,80.58,78,0,5.75
210,Faanui,PF,2022-05-06 00:22:41,-16.4833,-151.75,81.45,70,89,6.13
211,Fortuna,US,2022-05-06 00:22:41,40.5982,-124.1573,61.14,85,100,14.97
212,Weiser,US,2022-05-06 00:22:41,44.251,-116.9693,68.2,55,100,5.99
213,Luang Prabang,LA,2022-05-06 00:18:13,19.8856,102.1347,75.16,83,75,4.61
214,New Castle,US,2022-05-06 00:22:42,41.0037,-80.347,63.9,74,100,3.44
215,Mayor Pablo Lagerenza,PY,2022-05-06 00:22:43,-19.9309,-60.7718,62.28,38,0,4.18
216,Saskylakh,RU,2022-05-06 00:22:43,71.9167,114.0833,25.84,90,100,14.65
217,Vestmannaeyjar,IS,2022-05-06 00:22:00,63.4427,-20.2734,41.43,67,55,26.42
218,Avera,US,2022-05-06 00:22:43,33.194,-82.5271,79.56,61,44,3.56
219,Kamensk-Uralskiy,RU,2022-05-06 00:22:44,56.4185,61.9329,34.81,94,99,25.97
220,Waw,SS,2022-05-06 00:22:44,7.7029,27.9953,80.74,63,89,1.57
221,Eureka,US,2022-05-06 00:21:58,40.8021,-124.1637,61.41,81,100,8.59
222,Suba,PH,2022-05-06 00:22:45,10.8438,121.0102,84.45,73,76,5.59
223,Pangnirtung,CA,2022-05-06 00:19:43,66.1451,-65.7125,12.56,95,41,2.8
224,Richards Bay,ZA,2022-05-06 00:22:45,-28.783,32.0377,64.74,94,1,7.05
225,Cabo San Lucas,MX,2022-05-06 00:19:17,22.8909,-109.9124,81.61,61,0,10.36
226,Cianorte,BR,2022-05-06 00:23:46,-23.6633,-52.605,61.3,83,78,2.24
227,Pevek,RU,2022-05-06 00:20:11,69.7008,170.3133,28.4,90,98,6.24
228,Bambous Virieux,MU,2022-05-06 00:23:46,-20.3428,57.7575,75.22,80,48,22.57
229,Lumphat,KH,2022-05-06 00:23:46,13.4878,106.9816,78.28,81,91,5.7
230,Mago,RU,2022-05-06 00:23:47,53.2514,140.1822,34.57,98,100,2.91
231,Birecik,TR,2022-05-06 00:23:47,37.0294,37.9903,52.81,62,100,8.34
232,Semlac,RO,2022-05-06 00:23:48,46.1167,20.9333,57.18,75,15,7.43
233,Severo-Yeniseyskiy,RU,2022-05-06 00:23:48,60.3725,93.0408,37.42,78,100,3.02
234,Dakar,SN,2022-05-06 00:23:49,14.6937,-17.4441,72.48,94,0,9.22
235,Saint George,US,2022-05-06 00:19:43,37.1041,-113.5841,87.64,12,0,12.66
236,Ulaanbaatar,MN,2022-05-06 00:23:49,47.9077,106.8832,30.33,51,40,2.24
237,Ringas,IN,2022-05-06 00:23:49,27.35,75.5667,79.39,35,12,1.54
238,Shache,CN,2022-05-06 00:23:50,38.4167,77.2406,67.84,29,99,6.42
239,Camacha,PT,2022-05-06 00:20:28,33.0833,-16.3333,60.22,77,40,10.36
240,Khirkiya,IN,2022-05-06 00:23:50,22.1674,76.8605,85.87,28,0,5.08
241,Nanakuli,US,2022-05-06 00:23:51,21.3906,-158.1547,84.15,54,75,9.22
242,Mount Isa,AU,2022-05-06 00:23:51,-20.7333,139.5,65.97,37,79,12.66
243,Yeppoon,AU,2022-05-06 00:19:46,-23.1333,150.7333,78.58,77,11,7.63
244,Nouadhibou,MR,2022-05-06 00:23:51,20.931,-17.0347,64.38,77,19,17.27
245,Sao Joao,BR,2022-05-06 00:23:52,-8.8756,-36.3667,65.84,99,98,4.12
246,Ust-Nera,RU,2022-05-06 00:23:52,64.5667,143.2,31.55,87,98,6.8
247,Carutapera,BR,2022-05-06 00:23:53,-1.195,-46.02,76.03,92,83,5.08
248,Katsuura,JP,2022-05-06 00:23:53,35.1333,140.3,67.32,68,100,8.21
249,Kununurra,AU,2022-05-06 00:23:53,-15.7667,128.7333,80.58,32,6,16.11
250,Chara,RU,2022-05-06 00:23:54,56.9064,118.2631,30.63,55,47,5.79
251,Alexandria,EG,2022-05-06 00:23:54,31.2156,29.9553,63.97,66,0,15.9
252,Mahebourg,MU,2022-05-06 00:23:54,-20.4081,57.7,75.25,80,45,22.82
253,Mossendjo,CG,2022-05-06 00:23:55,-2.9506,12.7261,71.11,96,95,1.61
254,Rexburg,US,2022-05-06 00:22:17,43.826,-111.7897,67.51,32,0,17.27
255,Rorvik,NO,2022-05-06 00:23:55,64.8621,11.2373,43.95,89,100,14.97
256,Cayenne,GF,2022-05-06 00:19:40,4.9333,-52.3333,79.09,1,0,0.0
257,Fourmies,FR,2022-05-06 00:23:56,50.0153,4.0478,51.01,97,11,6.78
258,Tocopilla,CL,2022-05-06 00:22:50,-22.092,-70.1979,65.61,73,16,5.68
259,Olinda,BR,2022-05-06 00:23:56,-8.0089,-34.8553,82.13,78,40,8.05
260,Dingle,PH,2022-05-06 00:23:57,10.9995,122.6711,84.0,73,75,10.65
261,Boffa,GN,2022-05-06 00:23:57,10.1667,-14.0333,76.5,70,14,3.98
262,Mehamn,NO,2022-05-06 00:23:57,71.0357,27.8492,33.33,96,100,11.77
263,Yar-Sale,RU,2022-05-06 00:23:58,66.8333,70.8333,16.07,81,40,11.86
264,Bakel,SN,2022-05-06 00:23:58,14.905,-12.4568,94.78,16,22,6.51
265,Provideniya,RU,2022-05-06 00:23:58,64.3833,-173.3,33.91,75,40,4.47
266,Shimoda,JP,2022-05-06 00:23:59,34.6667,138.95,70.11,72,100,3.27
267,Sibolga,ID,2022-05-06 00:23:59,1.7427,98.7792,76.46,94,100,1.61
268,Fort Saint James,CA,2022-05-06 00:24:00,54.4333,-124.25,43.36,86,100,1.68
269,Seddon,AU,2022-05-06 00:24:00,-37.8068,144.8916,57.11,70,20,12.66
270,Ciudad Bolivar,VE,2022-05-06 00:24:00,8.1222,-63.5497,86.0,58,99,13.0
271,Hoopstad,ZA,2022-05-06 00:24:01,-27.8327,25.9083,58.71,41,0,0.47
272,Cidreira,BR,2022-05-06 00:24:01,-30.1811,-50.2056,63.41,69,44,6.06
273,Williston,US,2022-05-06 00:25:02,48.147,-103.618,75.81,38,2,12.19
274,Yataity,PY,2022-05-06 00:25:02,-26.3667,-56.0667,59.34,98,6,2.51
275,Kumluca,TR,2022-05-06 00:25:02,36.3703,30.2869,61.0,48,0,8.72
276,Ust-Kishert,RU,2022-05-06 00:25:03,57.3654,57.2495,30.56,74,79,18.43
277,Almeria,ES,2022-05-06 00:25:03,37.1667,-2.3333,52.77,72,4,4.83
278,Victoria,HK,2022-05-06 00:24:15,22.2855,114.1577,78.96,78,23,10.0
279,Gilgit,PK,2022-05-06 00:25:04,35.9221,74.3087,64.45,64,78,1.52
280,Hofn,IS,2022-05-06 00:25:04,64.2539,-15.2082,41.58,67,73,10.36
281,Iracoubo,GF,2022-05-06 00:25:05,5.4802,-53.2011,78.48,87,89,9.19
282,Buarcos,PT,2022-05-06 00:25:05,40.166,-8.8768,57.54,88,2,1.12
283,Olivet,FR,2022-05-06 00:25:05,47.8622,1.8991,50.99,86,0,6.91
284,Evensk,RU,2022-05-06 00:25:06,61.95,159.2333,31.41,96,100,11.48
285,Kieta,PG,2022-05-06 00:25:06,-6.2167,155.6333,85.14,72,70,7.23
286,Chik,RU,2022-05-06 00:25:07,54.9928,82.4311,42.84,60,0,4.47
287,Lagoa,PT,2022-05-06 00:22:43,39.05,-27.9833,62.08,86,100,28.74
288,Port Elizabeth,ZA,2022-05-06 00:25:07,-33.918,25.5701,65.32,76,0,12.66
289,Longyearbyen,SJ,2022-05-06 00:25:07,78.2186,15.6401,21.04,86,75,2.3
290,Dolores,AR,2022-05-06 00:25:08,-36.3132,-57.6792,54.45,75,100,7.58
291,Acarau,BR,2022-05-06 00:25:08,-2.8856,-40.12,76.89,87,44,10.6
292,Fort Nelson,CA,2022-05-06 00:25:09,58.8053,-122.7002,56.79,21,75,2.3
293,Kavaratti,IN,2022-05-06 00:22:11,10.5669,72.642,84.85,70,100,11.77
294,Pombas,CV,2022-05-06 00:25:09,17.1503,-25.0201,69.58,79,41,9.17
