City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,sao felix do xingu,BR,-6.6447,-51.995,72.37,92,19,1.16,few clouds
341,alihe,CN,50.5667,123.7167,67.89,13,0,2.17,clear sky
342,aguimes,ES,27.9054,-15.4461,63.23,77,20,17.27,few clouds
343,hammerfest,NO,70.6634,23.6821,32.45,80,100,8.05,overcast clouds
344,khopoli,IN,18.7833,73.3333,85.51,55,5,4.83,clear sky
345,vertientes,CU,21.2594,-78.1464,77.61,84,0,4.65,clear sky
346,guiyang,CN,26.5833,106.7167,75.69,69,40,4.47,scattered clouds
347,zhigansk,RU,66.7697,123.3711,30.92,95,100,13.09,overcast clouds
348,chengde,CN,40.9725,117.9361,48.31,72,100,4.43,overcast clouds
349,mayakonda,IN,14.2833,76.0833,81.88,55,36,8.28,scattered clouds
350,iralaya,HN,15.0,-83.2333,80.44,84,78,10.27,broken clouds
351,kyzyl-mazhalyk,RU,51.1333,90.6,43.63,57,100,2.26,overcast clouds
352,yaan,NG,7.3833,8.5667,76.5,87,99,3.47,light rain
353,berlevag,NO,70.8578,29.0864,33.6,89,100,29.95,light snow
354,upington,ZA,-28.4478,21.2561,46.78,87,0,5.75,clear sky
355,tezu,IN,27.9167,96.1667,86.09,51,56,3.53,broken clouds
356,buchanan,LR,5.8808,-10.0467,77.41,86,100,6.44,moderate rain
357,kamaishi,JP,39.2667,141.8833,57.87,45,73,6.82,broken clouds
358,siavonga,ZM,-16.5382,28.7088,69.24,68,62,5.21,broken clouds
359,huicungo,PE,-7.2833,-76.8,70.54,98,79,1.97,broken clouds
360,podor,MR,16.6527,-14.9587,81.66,26,4,14.94,clear sky
361,fort morgan,US,40.2503,-103.8,63.82,39,0,29.93,clear sky
362,palmares,BR,-8.6833,-35.5917,73.11,93,98,4.12,overcast clouds
363,nuevo ideal,MX,24.8875,-105.0728,65.97,25,0,10.04,clear sky
364,dingle,PH,10.9995,122.6711,88.57,62,97,15.61,overcast clouds
365,tarija,BO,-21.5355,-64.7296,52.59,76,58,3.6,broken clouds
366,jardim,BR,-21.4803,-56.1381,63.28,71,0,4.16,clear sky
